Specie,quantile,Weight males (kg),Weight females (kg),Birth weight males (kg),Birth weight females (kg),Age maturity males (months),Age maturity females (months),Age breeding males (months),Age breeding females (months),Age first parturition AVG (months),Age first parturition MIN (months),Age first parturition MAX (months),Parturition interval AVG (day),Parturition interval MIN (day),Parturition interval MAX (day),Length productive life (year),Daily gain (g),Carcass weight (kg),Dressing percentage (%),Litter size AVG (number),Litter size MIN (number),Litter size MAX (number),Young per year AVG (number)
Horse,0.5,475.5,450.0,42.0,40.0,24.0,36.0,102.0,120.0,47.0,41.0,53.0,438.0,365.0,547.0,19.0,900.0,181.25,47.06,1.0,1.0,1.0,0.8004385964912281
Horse,0.75,594.5,550.0,50.0,48.0,30.0,36.0,240.0,216.0,49.0,44.25,53.0,456.0,365.0,547.0,20.0,975.0,224.35,56.95,1.0,1.0,2.0,0.8690476190476191
Horse,0.95,850.0,715.0000000000006,60.0,65.0,36.0,38.099999999999994,240.0,216.0,60.0,48.0,63.0,557.0,409.19999999999976,657.3999999999999,24.39999999999999,1155.0,496.2499999999999,58.1,1.0,1.0,2.0,1.0159544159544158
Horse,0.995,1000.0,903.2999999999998,95.40000000000006,90.0,49.37999999999994,51.66,240.0,216.0,60.0,57.66,91.80000000000007,679.5000000000002,474.6,730.0,29.68,1195.5,657.1250000000001,58.46,1.0,1.0,2.0,1.0628729944519417
Pig,0.005,22.4,27.015,0.2956,0.25635,2.02,2.01,4.33,5.0,8.0,4.945,6.22,3.83,2.255,7.25,1.272,0.626,30.42,42.79,4.2349,1.0,5.515,8.78317530272191
Pig,0.05,45.0,45.0,0.4,0.381,5.0,5.0,5.300000000000001,6.0,10.0,8.0,10.025,112.45,87.50000000000001,117.5,1.5,134.24,35.0,47.7,6.0,1.0,6.0,11.872988505747125
Pig,0.25,98.9,85.0,0.74,0.7,6.0,6.0,7.75,8.0,12.0,9.0,12.895,149.25,120.0,201.0,3.0,320.0,70.0,66.80000000000001,8.4975,4.0,10.0,17.033333333333335
Pig,0.5,170.0,150.0,1.0,0.965,7.0,7.0,10.0,8.955,12.0,10.0,14.0,167.0,160.0,240.0,4.5,550.0,86.0,71.3,10.0,6.0,12.0,20.977011494252874
Pig,0.75,299.0,240.0,1.3,1.2,8.0,8.0,18.0,27.25,13.0,11.0,15.0,191.25,170.0,300.0,6.0,678.0,94.0,75.15,11.0,9.0,15.0,26.802532123960695
Pig,0.95,350.0,300.0,1.6,1.5,9.0,9.949999999999989,48.0,60.0,16.329999999999977,13.0,23.89999999999999,248.49999999999994,226.7999999999999,593.5,7.3999999999999915,857.7999999999998,151.99999999999994,80.0,13.343999999999996,10.62,21.849999999999994,39.10714285714286
